standard_normalized,reward_fn_normalized,detection_counters,confusion_matrix,post_processing_strategy,anomaly_threshold,topk,long_window,short_window,precision,recall,f1,accuracy,standard_raw,reward_fn_raw
-3.5235462027286637,8.177284987654568,"{'issue_detected': 1, 'issue_detected_ids': [12], 'im_detected': 5, 'im_detected_ids': [6, 7, 8, 14, 17], 'TestLog_detected': 0, 'TestLog_detected_ids': [], 'gt_issue_ids': [3, 12, 13], 'gt_im_ids': [0, 5, 6, 7, 8, 9, 14, 16, 17], 'gt_TestLog_ids': [1, 2, 4, 10, 11, 15, 18], 'tp': 6, 'tn': 0, 'fp': 113, 'fn': 13}","[[25408   113]
 [  936    31]]",,,,,,0.2152777777777778,0.03205791106514995,0.0558055805580558,0.9603971609785563,-20.338947557036892,-33.338947557036896
-3.5235462027286637,8.177284987654568,"{'issue_detected': 0, 'issue_detected_ids': [], 'im_detected': 4, 'im_detected_ids': [6, 7, 14, 17], 'TestLog_detected': 0, 'TestLog_detected_ids': [], 'gt_issue_ids': [3, 12, 13], 'gt_im_ids': [0, 5, 6, 7, 8, 9, 14, 16, 17], 'gt_TestLog_ids': [1, 2, 4, 10, 11, 15, 18], 'tp': 4, 'tn': 0, 'fp': 42, 'fn': 15}","[[25479    42]
 [  956    11]]",mahalanobis,99.8,1,0,0,0.2075471698113207,0.0113753877973112,0.0215686274509803,0.9623225611597704,-17.221403180792176,-32.22140318079218
-3.5235462027286637,8.177284987654568,"{'issue_detected': 1, 'issue_detected_ids': [12], 'im_detected': 4, 'im_detected_ids': [6, 7, 8, 14], 'TestLog_detected': 0, 'TestLog_detected_ids': [], 'gt_issue_ids': [3, 12, 13], 'gt_im_ids': [0, 5, 6, 7, 8, 9, 14, 16, 17], 'gt_TestLog_ids': [1, 2, 4, 10, 11, 15, 18], 'tp': 5, 'tn': 0, 'fp': 45, 'fn': 14}","[[25476    45]
 [  959     8]]",max,99.8,1,0,0,0.1509433962264151,0.0082730093071354,0.0156862745098039,0.9620960434913924,-15.194109730158129,-29.19410973015813
-3.5235462027286637,8.177284987654568,"{'issue_detected': 0, 'issue_detected_ids': [], 'im_detected': 3, 'im_detected_ids': [7, 8, 14], 'TestLog_detected': 0, 'TestLog_detected_ids': [], 'gt_issue_ids': [3, 12, 13], 'gt_im_ids': [0, 5, 6, 7, 8, 9, 14, 16, 17], 'gt_TestLog_ids': [1, 2, 4, 10, 11, 15, 18], 'tp': 3, 'tn': 0, 'fp': 38, 'fn': 16}","[[25483    38]
 [  952    15]]",max,99.8,1,0,0,0.2830188679245283,0.015511892450879,0.0294117647058823,0.962624584717608,-16.876707205113743,-32.876707205113746
-15.322824691965142,5.574257222900495,"{'issue_detected': 1, 'issue_detected_ids': [12], 'im_detected': 7, 'im_detected_ids': [6, 7, 8, 9, 14, 16, 17], 'TestLog_detected': 1, 'TestLog_detected_ids': [4], 'gt_issue_ids': [3, 12, 13], 'gt_im_ids': [0, 5, 6, 7, 8, 9, 14, 16, 17], 'gt_TestLog_ids': [1, 2, 4, 10, 11, 15, 18], 'tp': 9, 'tn': 0, 'fp': 216, 'fn': 10}","[[25305   216]
 [  921    46]]",,,,,,0.17557251908396945,0.047569803516028956,0.07485760781122865,0.9570749018423437,-24.822673382946753,-34.82267338294672
-15.322824691965142,5.574257222900495,"{'issue_detected': 0, 'issue_detected_ids': [], 'im_detected': 4, 'im_detected_ids': [6, 7, 14, 17], 'TestLog_detected': 0, 'TestLog_detected_ids': [], 'gt_issue_ids': [3, 12, 13], 'gt_im_ids': [0, 5, 6, 7, 8, 9, 14, 16, 17], 'gt_TestLog_ids': [1, 2, 4, 10, 11, 15, 18], 'tp': 4, 'tn': 0, 'fp': 42, 'fn': 15}","[[25479    42]
 [  956    11]]",mahalanobis,99.8,1,0,0,0.2075471698113207,0.0113753877973112,0.0215686274509803,0.9623225611597704,-17.221403180792176,-32.22140318079218
-15.322824691965142,5.574257222900495,"{'issue_detected': 1, 'issue_detected_ids': [12], 'im_detected': 6, 'im_detected_ids': [6, 7, 8, 9, 16, 17], 'TestLog_detected': 1, 'TestLog_detected_ids': [4], 'gt_issue_ids': [3, 12, 13], 'gt_im_ids': [0, 5, 6, 7, 8, 9, 14, 16, 17], 'gt_TestLog_ids': [1, 2, 4, 10, 11, 15, 18], 'tp': 8, 'tn': 0, 'fp': 120, 'fn': 11}","[[25401   120]
 [  951    16]]",likelihood,0.998,1,30,2,0.1176470588235294,0.0165460186142709,0.0290117860380779,0.9595665961945032,-17.089737388443847,-28.08973738844381
-15.322824691965142,5.574257222900495,"{'issue_detected': 0, 'issue_detected_ids': [], 'im_detected': 4, 'im_detected_ids': [6, 7, 8, 14], 'TestLog_detected': 0, 'TestLog_detected_ids': [], 'gt_issue_ids': [3, 12, 13], 'gt_im_ids': [0, 5, 6, 7, 8, 9, 14, 16, 17], 'gt_TestLog_ids': [1, 2, 4, 10, 11, 15, 18], 'tp': 4, 'tn': 0, 'fp': 58, 'fn': 15}","[[25463    58]
 [  945    22]]",max,99.7,1,0,0,0.275,0.0227507755946225,0.0420248328557784,0.962133796436122,-17.440589813694785,-32.440589813694785
-67.23121391221203,-29.031335590597454,"{'issue_detected': 1, 'issue_detected_ids': [12], 'im_detected': 7, 'im_detected_ids': [6, 7, 8, 9, 14, 16, 17], 'TestLog_detected': 1, 'TestLog_detected_ids': [4], 'gt_issue_ids': [3, 12, 13], 'gt_im_ids': [0, 5, 6, 7, 8, 9, 14, 16, 17], 'gt_TestLog_ids': [1, 2, 4, 10, 11, 15, 18], 'tp': 9, 'tn': 0, 'fp': 400, 'fn': 10}","[[25121   400]
 [  910    57]]",,,,,,0.12472647702407003,0.05894519131334023,0.0800561797752809,0.9505436424041075,-44.54786128664057,-54.54786128664055
