standard_normalized,NAB_standard_rank,NAB_reward_fn_rank,reward_fn_normalized,detection_counters,confusion_matrix,post_processing_strategy,anomaly_threshold,topk,long_window,short_window,precision,recall,f1,accuracy,standard_raw,reward_fn_raw
-11.59360880435493,8.0,7.0,-4.220300606412053,"{'issue_detected': 0, 'issue_detected_ids': [], 'im_detected': 2, 'im_detected_ids': [14, 17], 'TestLog_detected': 0, 'TestLog_detected_ids': [], 'gt_issue_ids': [3, 12, 13], 'gt_im_ids': [0, 5, 6, 7, 8, 9, 14, 16, 17], 'gt_TestLog_ids': [1, 2, 4, 10, 11, 15, 18], 'tp': 2, 'tn': 0, 'fp': 75, 'fn': 17}","[[25446    75]
 [  962     5]]",max,99.7,1,0,0,0.0625,0.005170630816959669,0.009551098376313277,0.9608501963153125,-23.405571345654874,-40.40557134565487
-5.726148720831671,6.0,6.0,-0.30866055072988624,"{'issue_detected': 0, 'issue_detected_ids': [], 'im_detected': 2, 'im_detected_ids': [14, 17], 'TestLog_detected': 0, 'TestLog_detected_ids': [], 'gt_issue_ids': [3, 12, 13], 'gt_im_ids': [0, 5, 6, 7, 8, 9, 14, 16, 17], 'gt_TestLog_ids': [1, 2, 4, 10, 11, 15, 18], 'tp': 2, 'tn': 0, 'fp': 50, 'fn': 17}","[[25471    50]
 [  964     3]]",max,99.8,1,0,0,0.05660377358490566,0.0031023784901758012,0.0058823529411764705,0.9617185140440955,-21.175936513916035,-38.175936513916035
-7.81578947368417,7.0,9.0,-5.210526315789447,"{'issue_detected': 0, 'issue_detected_ids': [], 'im_detected': 0, 'im_detected_ids': [], 'TestLog_detected': 0, 'TestLog_detected_ids': [], 'gt_issue_ids': [3, 12, 13], 'gt_im_ids': [0, 5, 6, 7, 8, 9, 14, 16, 17], 'gt_TestLog_ids': [1, 2, 4, 10, 11, 15, 18], 'tp': 0, 'tn': 0, 'fp': 27, 'fn': 19}","[[25494    27]
 [  967     0]]",max,99.9,1,0,0,0.0,0.0,0.0,0.9624735729386892,-21.969999999999985,-40.969999999999985
-35.18811223857074,10.0,10.0,-12.932425702906794,"{'issue_detected': 1, 'issue_detected_ids': [12], 'im_detected': 5, 'im_detected_ids': [6, 7, 8, 9, 17], 'TestLog_detected': 0, 'TestLog_detected_ids': [], 'gt_issue_ids': [3, 12, 13], 'gt_im_ids': [0, 5, 6, 7, 8, 9, 14, 16, 17], 'gt_TestLog_ids': [1, 2, 4, 10, 11, 15, 18], 'tp': 6, 'tn': 0, 'fp': 224, 'fn': 13}","[[25297   224]
 [  951    16]]",likelihood,0.998,1,30,2,0.06666666666666667,0.016546018614270942,0.026512013256006627,0.9556402899426155,-32.37148265065688,-45.37148265065687
-22.6025126741656,9.0,8.0,-4.542025993303381,"{'issue_detected': 1, 'issue_detected_ids': [12], 'im_detected': 5, 'im_detected_ids': [6, 7, 8, 9, 17], 'TestLog_detected': 0, 'TestLog_detected_ids': [], 'gt_issue_ids': [3, 12, 13], 'gt_im_ids': [0, 5, 6, 7, 8, 9, 14, 16, 17], 'gt_TestLog_ids': [1, 2, 4, 10, 11, 15, 18], 'tp': 6, 'tn': 0, 'fp': 179, 'fn': 13}","[[25342   179]
 [  954    13]]",likelihood,0.9985,1,30,2,0.06770833333333333,0.01344364012409514,0.022433132010353754,0.9572259136212624,-27.588954816182927,-40.58895481618293
10.51180290148582,4.0,4.0,17.53418439046423,"{'issue_detected': 1, 'issue_detected_ids': [12], 'im_detected': 5, 'im_detected_ids': [6, 7, 8, 9, 17], 'TestLog_detected': 0, 'TestLog_detected_ids': [], 'gt_issue_ids': [3, 12, 13], 'gt_im_ids': [0, 5, 6, 7, 8, 9, 14, 16, 17], 'gt_TestLog_ids': [1, 2, 4, 10, 11, 15, 18], 'tp': 6, 'tn': 0, 'fp': 55, 'fn': 13}","[[25466    55]
 [  960     7]]",likelihood,0.9997,1,30,2,0.11290322580645161,0.007238883143743537,0.013605442176870748,0.9616807610993657,-15.005514897435388,-28.00551489743539
11.66969763832792,3.0,3.0,18.30611421502563,"{'issue_detected': 1, 'issue_detected_ids': [12], 'im_detected': 5, 'im_detected_ids': [6, 7, 8, 9, 17], 'TestLog_detected': 0, 'TestLog_detected_ids': [], 'gt_issue_ids': [3, 12, 13], 'gt_im_ids': [0, 5, 6, 7, 8, 9, 14, 16, 17], 'gt_TestLog_ids': [1, 2, 4, 10, 11, 15, 18], 'tp': 6, 'tn': 0, 'fp': 51, 'fn': 13}","[[25470    51]
 [  960     7]]",likelihood,0.99975,1,30,2,0.1206896551724138,0.007238883143743537,0.013658536585365854,0.9618317728782845,-14.56551489743539,-27.565514897435392
13.10460476420343,2.0,1.0,21.017104930521597,"{'issue_detected': 1, 'issue_detected_ids': [3], 'im_detected': 6, 'im_detected_ids': [6, 7, 8, 9, 14, 17], 'TestLog_detected': 0, 'TestLog_detected_ids': [], 'gt_issue_ids': [3, 12, 13], 'gt_im_ids': [0, 5, 6, 7, 8, 9, 14, 16, 17], 'gt_TestLog_ids': [1, 2, 4, 10, 11, 15, 18], 'tp': 7, 'tn': 0, 'fp': 63, 'fn': 12}","[[25458    63]
 [  950    17]]",mahalanobis,99.7,1,0,0,0.2125,0.017580144777662874,0.03247373447946514,0.9617562669888251,-14.020250189602697,-26.020250189602688
13.357820157273995,1.0,2.0,19.43152922765634,"{'issue_detected': 1, 'issue_detected_ids': [3], 'im_detected': 5, 'im_detected_ids': [6, 7, 8, 9, 17], 'TestLog_detected': 0, 'TestLog_detected_ids': [], 'gt_issue_ids': [3, 12, 13], 'gt_im_ids': [0, 5, 6, 7, 8, 9, 14, 16, 17], 'gt_TestLog_ids': [1, 2, 4, 10, 11, 15, 18], 'tp': 6, 'tn': 0, 'fp': 39, 'fn': 13}","[[25482    39]
 [  953    14]]",mahalanobis,99.8,1,0,0,0.2641509433962264,0.014477766287487074,0.027450980392156862,0.9625490788281486,-13.924028340235882,-26.924028340235886
9.855275422417648,5.0,5.0,13.587727474594221,"{'issue_detected': 1, 'issue_detected_ids': [3], 'im_detected': 3, 'im_detected_ids': [6, 8, 17], 'TestLog_detected': 0, 'TestLog_detected_ids': [], 'gt_issue_ids': [3, 12, 13], 'gt_im_ids': [0, 5, 6, 7, 8, 9, 14, 16, 17], 'gt_TestLog_ids': [1, 2, 4, 10, 11, 15, 18], 'tp': 4, 'tn': 0, 'fp': 17, 'fn': 15}","[[25504    17]
 [  957    10]]",mahalanobis,99.9,1,0,0,0.37037037037037035,0.010341261633919338,0.02012072434607646,0.963228631833283,-15.254995339481294,-30.254995339481294
